espn_venue,espn_venue_norm,match,matched_stadium,City,State,lat,lon
Mac Nease Baseball Park,mac nease baseball park,False,,,,,
Maestri Field,maestri field,False,,,,,
Magnolia Field at Baylor Ballpark,magnolia field at baylor ballpark,False,,,,,
McCann Baseball Field,mccann baseball field,False,,,,,
McKie Field at Hayden Park,mckie field at hayden park,False,,,,,
Meritus Park,meritus park,False,,,,,
Mickey Dunn Stadium,mickey dunn stadium,False,,,,,
Mike D. Lane Field,mike d. lane field,False,,,,,
Miller Park - Larry H. Miller Field,miller park - larry h. miller field,False,,,,,
Nick Swisher Field at Bill Davis Stadium,nick swisher field at bill davis stadium,False,,,,,
Nielsen Field at CSU Ballpark,nielsen field at csu ballpark,False,,,,,
ONEOK Field,oneok field,False,,,,,
OrthoGeorgia Park at Claude Smith Field,orthogeorgia park at claude smith field,False,,,,,
Oxford-University Stadium at Swayze Field,oxford-university stadium at swayze field,False,,,,,
PC Baseball Complex,pc baseball complex,False,,,,,
Page Stadium,page stadium,False,,,,,
Parque Yldefonso Sola Morales,parque yldefonso sola morales,False,,,,,
Pete Taylor Park/Hill Denson Field,pete taylor park/hill denson field,False,,,,,
Phil Swimley Field at Dobbins Stadium,phil swimley field at dobbins stadium,False,,,,,
Pitt Field,pitt field,False,,,,,
Plainsman Park,plainsman park,False,,,,,
Prasco Park,prasco park,False,,,,,
Regions Field,regions field,False,,,,,
Riders Field,riders field,False,,,,,
Riverwalk Stadium,riverwalk stadium,False,,,,,
Rocky and Berenice Miller Park,rocky and berenice miller park,False,,,,,
Ron Tonkin Field,ron tonkin field,False,,,,,
Ronnie G. Childress at Hennon Stadium,ronnie g. childress at hennon stadium,False,,,,,
Rudy Abbott Field at Jim Case Stadium,rudy abbott field at jim case stadium,False,,,,,
SRP Park,srp park,False,,,,,
Salt River Fields at Talking Stick,salt river fields at talking stick,False,,,,,
Segra Park,segra park,False,,,,,
Sherman Carter Memorial Stadium,sherman carter memorial stadium,False,,,,,
"Shipley Field at Bob ""Turtle"" Smith Stadium","shipley field at bob ""turtle"" smith stadium",False,,,,,
Shipyard Park,shipyard park,False,,,,,
Sloan Park,sloan park,False,,,,,
Space Coast Stadium,space coast stadium,False,,,,,
Stanky Field,stanky field,False,,,,,
Staten Island University Hospital Community Park,staten island university hospital community park,False,,,,,
Stu Gordon Stadium,stu gordon stadium,False,,,,,
Surprise Stadium,surprise stadium,False,,,,,
Tarleton Baseball Complex,tarleton baseball complex,False,,,,,
The Ballpark at Patriots Point,the ballpark at patriots point,False,,,,,
The Stick Williams Dream Fields,the stick williams dream fields,False,,,,,
The Winthrop Ballpark,the winthrop ballpark,False,,,,,
Toyota Field,toyota field,False,,,,,
Truist Field,truist field,False,,,,,
Truist Park,truist park,False,,,,,
Trustmark Park,trustmark park,False,,,,,
Tucker Field at Barcroft Park,tucker field at barcroft park,False,,,,,
Turkey Hughes Field at Earle Combs Stadium,turkey hughes field at earle combs stadium,False,,,,,
U.S. Bank Stadium,u.s. bank stadium,False,,,,,
University Field (Hofstra),university field (hofstra),False,,,,,
Virginia Credit Union Stadium,virginia credit union stadium,False,,,,,
VyStar Ballpark,vystar ballpark,False,,,,,
Wagener Field at Monongalia County Ballpark,wagener field at monongalia county ballpark,False,,,,,
Whataburger Field,whataburger field,False,,,,,
Williard Stadium,williard stadium,False,,,,,
Woerner Field at AES Ohio Stadium,woerner field at aes ohio stadium,False,,,,,
Worthington Field at Liberty Baseball Stadium,worthington field at liberty baseball stadium,False,,,,,
