event_id,home,away,stadium,City,State,lat,lon,event_date,event_dt_utc,tz_name,event_dt_local,local_date,local_time
401750515,Virginia,Villanova,Davenport Field at Disharoon Park,Charlottesville,VA,38.0457967,-78.5135345,2025-02-16T00:00Z,2025-02-16 00:00:00+00:00,America/New_York,2025-02-15 19:00:00-05:00,2025-02-15,19:00
401750050,LSU,Purdue FW,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,30.4494155,-91.1869659,2025-02-15T17:00Z,2025-02-15 17:00:00+00:00,America/Chicago,2025-02-15 11:00:00-06:00,2025-02-15,11:00
401749976,Tennessee,Hofstra,Lindsey Nelson Stadium,Knoxville,TN,35.9490901,-83.9294748,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/New_York,2025-02-15 14:00:00-05:00,2025-02-15,14:00
401746174,Arkansas,Washington St,Baum–Walker Stadium,Fayetteville,AR,36.050156,-94.1831402,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,America/Chicago,2025-02-15 13:00:00-06:00,2025-02-15,13:00
401750426,North Carolina,Texas Tech,Boshamer Stadium,Chapel Hill,NC,35.9063338,-79.0434986,2025-02-15T17:00Z,2025-02-15 17:00:00+00:00,America/New_York,2025-02-15 12:00:00-05:00,2025-02-15,12:00
401751737,Oregon St,UNLV,,,,,,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,,,,
401748396,Quinnipiac,Georgia,Quinnipiac Baseball Field,Hamden,CT,41.3836233,-72.9020069,2025-02-15T15:00Z,2025-02-15 15:00:00+00:00,America/New_York,2025-02-15 10:00:00-05:00,2025-02-15,10:00
401748397,UNC Wilmington,Georgia,Brooks Field,Wilmington,NC,34.2218891,-77.873377,2025-02-15T19:30Z,2025-02-15 19:30:00+00:00,America/New_York,2025-02-15 14:30:00-05:00,2025-02-15,14:30
401750312,Florida St,James Madison,,,,,,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,,,,
401748350,Florida,Air Force,Condron Ballpark,Gainesville,FL,29.6366398,-82.3641623,2025-02-15T18:00Z,2025-02-15 18:00:00+00:00,America/New_York,2025-02-15 13:00:00-05:00,2025-02-15,13:00
401748351,Florida,Air Force,Condron Ballpark,Gainesville,FL,29.6366398,-82.3641623,2025-02-15T21:30Z,2025-02-15 21:30:00+00:00,America/New_York,2025-02-15 16:30:00-05:00,2025-02-15,16:30
401750286,Duke,Cincinnati,Jack Coombs Field,Durham,NC,35.996653,-78.9018053,2025-02-15T23:00Z,2025-02-15 23:00:00+00:00,America/New_York,2025-02-15 18:00:00-05:00,2025-02-15,18:00
401751064,Oregon,Toledo,PK Park,Eugene,OR,44.0358767,-123.0579178,2025-02-15T19:05Z,2025-02-15 19:05:00+00:00,America/Los_Angeles,2025-02-15 11:05:00-08:00,2025-02-15,11:05
401751065,Oregon,Toledo,PK Park,Eugene,OR,44.0358767,-123.0579178,2025-02-15T23:30Z,2025-02-15 23:30:00+00:00,America/Los_Angeles,2025-02-15 15:30:00-08:00,2025-02-15,15:30
401750403,NC State,Fordham,,,,,,2025-02-15T19:00Z,2025-02-15 19:00:00+00:00,,,,
401750563,Wake Forest,Long Island,David F. Couch Ballpark,Winston-Salem,NC,36.1297606,-80.2522568,2025-02-15T22:00Z,2025-02-15 22:00:00+00:00,America/New_York,2025-02-15 17:00:00-05:00,2025-02-15,17:00
401750264,Arizona,Clemson,Hi Corbett Field,Tucson,AZ,32.2130633,-110.9193708,2025-02-15T17:00Z,2025-02-15 17:00:00+00:00,America/Phoenix,2025-02-15 10:00:00-07:00,2025-02-15,10:00
401750096,Vanderbilt,Nebraska,Hawkins Field,Nashville,TN,36.1433436,-86.807492,2025-02-16T01:00Z,2025-02-16 01:00:00+00:00,America/Chicago,2025-02-15 19:00:00-06:00,2025-02-15,19:00
401750357,Oklahoma St,Louisville,,,,,,2025-02-15T21:00Z,2025-02-15 21:00:00+00:00,,,,
401748548,Texas,Ole Miss,UFCU Disch–Falk Field,Austin,TX,30.2801248,-97.7261524,2025-02-16T01:27Z,2025-02-16 01:27:00+00:00,America/Chicago,2025-02-15 19:27:00-06:00,2025-02-15,19:27
401751775,Dallas Baptist,N Dakota St,Horner Ballpark,Dallas,TX,32.7118563,-96.9453641,2025-02-15T21:05Z,2025-02-15 21:05:00+00:00,America/Chicago,2025-02-15 15:05:00-06:00,2025-02-15,15:05
