espn_id,displayName,shortDisplayName,name,abbreviation,location,slug,color,logo_default,logo_dark
113,Oregon State Beavers,Oregon St,Beavers,ORST,Oregon State,oregon-state-beavers,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png
1279,PEARL Pearl,PEARL,Pearl,PEA,PEARL,pearl-pearl,,,
835,PINEVILLE Wildcats,LACOLLEGE,Wildcats,LCO,PINEVILLE,pineville-wildcats,,,
129700,Pacific Lutheran Lutes,Pacific Luther,Lutes,PAC,Pacific Lutheran,pacific-lutheran-lutes,,https://a.espncdn.com/i/teamlogos/ncaa/500/2486.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2486.png
413,Pacific Tigers,Pacific,Tigers,PAC,Pacific,pacific-tigers,ff5109,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/279.png
414,Penn State Nittany Lions,Penn State,Nittany Lions,PSU,Penn State,penn-state-nittany-lions,29294a,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png
415,Pennsylvania Quakers,Penn,Quakers,PENN,Pennsylvania,pennsylvania-quakers,B10021,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/219.png
187,Pepperdine Waves,Pepperdine,Waves,PEPP,Pepperdine,pepperdine-waves,009C98,https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2492.png
115,Pittsburgh Panthers,Pitt,Panthers,PITT,Pittsburgh,pittsburgh-panthers,313169,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png
416,Portland Pilots,Portland,Pilots,PORT,Portland,portland-pilots,4200a0,https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2501.png
417,Portland State Vikings,Portland St,Vikings,PRST,Portland State,portland-state-vikings,005e60,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2502.png
188,Prairie View A&M Panthers,Prairie View,Panthers,PV,Prairie View A&M,prairie-view-am-panthers,4D0960,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2504.png
418,Presbyterian Blue Hose,Presbyterian,Blue Hose,PRES,Presbyterian,presbyterian-blue-hose,003372,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2506.png
101,Princeton Tigers,Princeton,Tigers,PRIN,Princeton,princeton-tigers,FF9408,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/163.png
419,Providence Friars,Providence,Friars,PROV,Providence,providence-friars,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2507.png
189,Purdue Boilermakers,Purdue,Boilermakers,PUR,Purdue,purdue-boilermakers,211818,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png
374,Purdue Fort Wayne Mastodons,Purdue FW,Mastodons,PFW,Purdue Fort Wayne,purdue-fort-wayne-mastodons,00378A,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2870.png
1238,Queens University Royals,Queens,Royals,QUC,Queens University,queens-university-royals,,https://a.espncdn.com/i/teamlogos/ncaa/500/2511.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2511.png
420,Quinnipiac Bobcats,Quinnipiac,Bobcats,QUIN,Quinnipiac,quinnipiac-bobcats,002162,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2514.png
1191,ROOSEVELT Lakers,ROOSEVELT,Lakers,ROO,ROOSEVELT,roosevelt-lakers,,,
421,Radford Highlanders,Radford,Highlanders,RAD,Radford,radford-highlanders,bd1818,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2515.png
422,Rhode Island Rams,Rhode Island,Rams,URI,Rhode Island,rhode-island-rams,003559,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/227.png
122,Rice Owls,Rice,Owls,RICE,Rice,rice-owls,00315A,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png
130,Richmond Spiders,Richmond,Spiders,RICH,Richmond,richmond-spiders,004371,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/257.png
423,Rider Broncs,Rider,Broncs,RID,Rider,rider-broncs,c82223,https://a.espncdn.com/i/teamlogos/ncaa/500/2520.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2520.png
424,Robert Morris Colonials,Robert Morris,Colonials,RMU,Robert Morris,robert-morris-colonials,3d4262,https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2523.png
102,Rutgers Scarlet Knights,Rutgers,Scarlet Knights,RUTG,Rutgers,rutgers-scarlet-knights,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png
1275,SANJACJC Sanjacjc,SANJACJC,Sanjacjc,SAN,SANJACJC,sanjacjc-sanjacjc,,,
1278,SCOF Scof,SCOF,Scof,STA,SCOF,scof-scof,,,
309,SE Louisiana Lions,SE Louisiana,Lions,SELA,SE Louisiana,se-louisiana-lions,,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2545.png
1197,SEUNIV Fires,Southeastern,Fires,SOU,SEUNIV,seuniv-fires,,,
429,SIU Edwardsville Cougars,SIUE,Cougars,SIUE,SIU Edwardsville,siu-edwardsville-cougars,eb1c23,https://a.espncdn.com/i/teamlogos/ncaa/500/2565.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2565.png
433,SMU Mustangs,SMU,Mustangs,SMU,SMU,smu-mustangs,e73139,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png
842,SW Oklahoma State Bulldogs,SWOKLAST,Bulldogs,SWOS,SW Oklahoma State,sw-oklahoma-state-bulldogs,,https://a.espncdn.com/i/teamlogos/ncaa/500/2927.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2927.png
314,Sacramento State Hornets,Sacramento St,Hornets,SAC,Sacramento State,sacramento-state-hornets,,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/16.png
266,Sacred Heart Pioneers,Sacred Heart,Pioneers,SHU,Sacred Heart,sacred-heart-pioneers,BB003A,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2529.png
436,Saint Francis Red Flash,Saint Francis,Red Flash,SFPA,Saint Francis,saint-francis-red-flash,a20012,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2598.png
425,Saint Joseph's Hawks,Saint Joseph's,Hawks,JOES,Saint Joseph's,saint-josephs-hawks,BB003A,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2603.png
300,Saint Louis Billikens,Saint Louis,Billikens,SLU,Saint Louis,saint-louis-billikens,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/139.png
