event_id,event_date,status,home,away,venue,location
401750028,2025-02-21T22:00Z,Final,Texas A&M,Cal Poly,Olsen Field at Blue Bell Park,"College Station, Texas"
401750518,2025-02-21T22:25Z,Final,Virginia,Oregon St,Dell Diamond,"Round Rock, Texas"
401750054,2025-02-21T22:00Z,Final,LSU,Omaha,"Alex Box Stadium, Skip Bertman Field","Baton Rouge, Louisiana"
401749979,2025-02-21T19:00Z,Final,Tennessee,Samford,Lindsey Nelson Stadium,"Knoxville, Tennessee"
401746177,2025-02-22T01:00Z,Final,Arkansas,Kansas St,Globe Life Field,"Arlington, Texas"
401760265,2025-02-21T18:00Z,Final,Georgia,UIC,Foley Field,"Athens, Georgia"
401748401,2025-02-21T20:00Z,Final,Georgia,UIC,Foley Field,"Athens, Georgia"
401750315,2025-02-21T22:00Z,Final,Florida St,Penn,Mike Martin Field at Dick Howser Stadium,"Tallahassee, Florida"
401748354,2025-02-21T23:30Z,Final,Florida,Dayton,Condron Family Ballpark,"Gainesville, Florida"
401751067,2025-02-21T23:05Z,Final,Oregon,Rhode Island,PK Park,"Eugene, Oregon"
401750405,2025-02-21T19:00Z,Final,NC State,Ohio State,VyStar Ballpark,"Jacksonville, Florida"
401750566,2025-02-21T21:00Z,Final,Wake Forest,St John's,David F. Couch Ballpark,"Winston-Salem, North Carolina"
401750266,2025-02-21T21:00Z,Final,Clemson,VCU,Doug Kingsmore Stadium,"Clemson, South Carolina"
401750100,2025-02-21T20:00Z,Final,Vanderbilt,Saint Mary's,Hawkins Field,"Nashville, Tennessee"
401750004,2025-02-21T19:00Z,Final,Texas,Dartmouth,UFCU Disch-Falk Field,"Austin, Texas"
401750289,2025-02-21T20:00Z,Final,Duke,Cornell,Jack Coombs Field,"Durham, North Carolina"
401748447,2025-02-21T20:00Z,Final,Mississippi St,Missouri St,Dudy Noble Field,"Starkville, Mississippi"
401760096,2025-02-21T21:00Z,Final,Seattle U,Santa Barbara,Tony Gwynn Stadium,"San Diego, California"
401750785,2025-02-21T21:00Z,Final,Michigan,TCU,Globe Life Field,"Arlington, Texas"
401751029,2025-02-22T00:00Z,Final,Louisiana,Nebraska,"M.L. ""Tigue"" Moore Field at Russo Park","Lafayette, Louisiana"
401757342,2025-02-21T22:00Z,Final,Troy,N'Western St,Riddle-Pace Field,"Troy, Alabama"
401750677,2025-02-22T02:05Z,Final,UNLV,Cincinnati,Earl E. Wilson Stadium,"Paradise Valley, Nevada"
401750450,2025-02-21T17:00Z,Final,Iowa,Notre Dame,Frank Eck Baseball Stadium,"Notre Dame, Indiana"
401750995,2025-02-21T18:00Z,Final,Washington St,Michigan St,Whataburger Field,"Corpus Christi, Texas"
401748527,2025-02-21T18:00Z,Final,Minnesota,Oklahoma,Dell Diamond,"Round Rock, Texas"
401750472,2025-02-21T18:30Z,Final,Pitt,Monmouth,USA Baseball Training Complex,"Cary, North Carolina"
401750339,2025-02-21T19:00Z,Final,Georgia Tech,Marshall,Mac Nease Baseball Park,"Atlanta, Georgia"
401750953,2025-02-21T20:00Z,Final,W Carolina,Maryland,Ronnie G. Childress at Hennon Stadium,"Cullowhee, North Carolina"
401750803,2025-02-21T20:00Z,Final,Texas Tech,UC Irvine,Dan Law Field at Rip Griffin Park,"Lubbock, Texas"
401748551,2025-02-21T20:00Z,Final,Ole Miss,E Kentucky,Oxford-University Stadium at Swayze Field,"Oxford, Mississippi"
401746204,2025-02-21T20:30Z,Final,Auburn,Wright St,Plainsman Park,"Auburn, Alabama"
401751138,2025-02-21T21:00Z,Final,Texas A&M-CC,UCLA,Whataburger Field,"Corpus Christi, Texas"
401750657,2025-02-21T21:00Z,Final,Baylor,Gonzaga,Magnolia Field at Baylor Ballpark,"Waco, Texas"
401748582,2025-02-21T21:00Z,Final,South Carolina,Milwaukee,Founders Park,"Columbia, South Carolina"
401751886,2025-02-21T22:00Z,Final,Purdue,Niagara,Ting Stadium,"Holly Springs, North Carolina"
401748424,2025-02-21T22:00Z,Final,Belmont,Kentucky,E. S. Rose Park,"Nashville, Tennessee"
